,bela1254,copt1239,czec1258,dani1285,dutc1256,faro1244,finn1318,hebr1245,hind1269,hung1274,icel1247,iris1253,ital1282,komi1268,kore1280,latv1249,lith1251,malt1254,mand1415,mara1378,mode1248,nort2671,nucl1235,nucl1301,nucl1347,nucl1643,poli1260,port1283,russ1263,slov1268,stan1289,stan1290,stan1293,stan1318,swed1254,tami1289,telu1262,ukra1253,viet1252,wels1247,west2369
bela1254,0.0,0.259375,0.175,0.175,0.1375,0.1625,0.140625,0.159375,0.15625,0.115625,0.153125,0.175,0.153125,0.175,0.1875,0.1625,0.178125,0.221875,0.20625,0.203125,0.121875,0.115625,0.125,0.20625,0.215625,0.25,0.128125,0.153125,0.140625,0.13125,0.178125,0.184375,0.159375,0.1375,0.165625,0.24375,0.203125,0.13125,0.26875,0.18125,0.165625
copt1239,0.259375,0.0,0.203125,0.2,0.1875,0.20625,0.18125,0.13125,0.203125,0.209375,0.19375,0.153125,0.171875,0.18125,0.225,0.19375,0.21875,0.190625,0.171875,0.234375,0.209375,0.20625,0.234375,0.2125,0.1,0.24375,0.196875,0.15,0.203125,0.18125,0.146875,0.171875,0.15625,0.1625,0.171875,0.26875,0.23125,0.18125,0.140625,0.14375,0.190625
czec1258,0.175,0.203125,0.0,0.140625,0.134375,0.1,0.096875,0.125,0.134375,0.115625,0.103125,0.165625,0.125,0.10625,0.203125,0.065625,0.05,0.153125,0.203125,0.18125,0.1,0.084375,0.13125,0.153125,0.209375,0.228125,0.0875,0.134375,0.103125,0.1,0.15,0.140625,0.115625,0.1625,0.134375,0.19375,0.165625,0.10625,0.259375,0.16875,0.096875
dani1285,0.175,0.2,0.140625,0.0,0.08125,0.078125,0.090625,0.11875,0.1625,0.128125,0.046875,0.128125,0.065625,0.10625,0.196875,0.10625,0.13125,0.078125,0.1875,0.209375,0.071875,0.1375,0.15,0.209375,0.184375,0.24375,0.090625,0.078125,0.06875,0.065625,0.109375,0.06875,0.059375,0.146875,0.028125,0.24375,0.209375,0.071875,0.2375,0.125,0.165625
dutc1256,0.1375,0.1875,0.134375,0.08125,0.0,0.10625,0.109375,0.10625,0.14375,0.1125,0.065625,0.109375,0.078125,0.1125,0.190625,0.11875,0.140625,0.128125,0.171875,0.2,0.09375,0.11875,0.128125,0.19375,0.165625,0.24375,0.090625,0.084375,0.103125,0.0875,0.103125,0.09375,0.071875,0.14375,0.059375,0.23125,0.19375,0.090625,0.221875,0.11875,0.15
faro1244,0.1625,0.20625,0.1,0.078125,0.10625,0.0,0.0875,0.125,0.14375,0.13125,0.05625,0.11875,0.09375,0.115625,0.2,0.059375,0.096875,0.103125,0.209375,0.196875,0.05,0.103125,0.1375,0.18125,0.19375,0.24375,0.05625,0.103125,0.046875,0.08125,0.1375,0.078125,0.084375,0.14375,0.084375,0.23125,0.190625,0.0875,0.25625,0.1375,0.134375
finn1318,0.140625,0.18125,0.096875,0.090625,0.109375,0.0875,0.0,0.075,0.090625,0.0625,0.071875,0.121875,0.084375,0.053125,0.134375,0.08125,0.096875,0.121875,0.146875,0.171875,0.0625,0.05625,0.103125,0.15,0.15625,0.19375,0.053125,0.096875,0.053125,0.0375,0.1125,0.1125,0.065625,0.096875,0.0875,0.20625,0.15,0.040625,0.2125,0.11875,0.096875
hebr1245,0.159375,0.13125,0.125,0.11875,0.10625,0.125,0.075,0.0,0.1375,0.090625,0.103125,0.071875,0.084375,0.109375,0.15625,0.121875,0.14375,0.15,0.11875,0.215625,0.103125,0.109375,0.153125,0.18125,0.096875,0.221875,0.084375,0.065625,0.10625,0.078125,0.05625,0.10625,0.065625,0.065625,0.096875,0.2375,0.18125,0.071875,0.15625,0.0625,0.096875
hind1269,0.15625,0.203125,0.134375,0.1625,0.14375,0.14375,0.090625,0.1375,0.0,0.09375,0.14375,0.1875,0.146875,0.1125,0.10625,0.128125,0.125,0.15,0.184375,0.096875,0.134375,0.103125,0.06875,0.08125,0.203125,0.146875,0.13125,0.165625,0.10625,0.109375,0.1875,0.1625,0.14375,0.14375,0.159375,0.14375,0.090625,0.11875,0.24375,0.178125,0.08125
hung1274,0.115625,0.209375,0.115625,0.128125,0.1125,0.13125,0.0625,0.090625,0.09375,0.0,0.109375,0.153125,0.134375,0.084375,0.11875,0.13125,0.140625,0.171875,0.146875,0.153125,0.1125,0.05,0.078125,0.14375,0.1625,0.18125,0.096875,0.134375,0.115625,0.0875,0.13125,0.16875,0.103125,0.103125,0.11875,0.178125,0.134375,0.078125,0.215625,0.140625,0.0875
icel1247,0.153125,0.19375,0.103125,0.046875,0.065625,0.05625,0.071875,0.103125,0.14375,0.109375,0.0,0.109375,0.05,0.09375,0.190625,0.084375,0.115625,0.10625,0.171875,0.19375,0.05,0.103125,0.140625,0.2,0.171875,0.24375,0.05,0.075,0.059375,0.0625,0.096875,0.08125,0.04375,0.1375,0.05,0.240625,0.196875,0.05625,0.225,0.11875,0.146875
iris1253,0.175,0.153125,0.165625,0.128125,0.109375,0.11875,0.121875,0.071875,0.1875,0.153125,0.109375,0.0,0.075,0.15625,0.215625,0.140625,0.16875,0.153125,0.1625,0.265625,0.090625,0.153125,0.203125,0.234375,0.11875,0.26875,0.096875,0.0625,0.11875,0.103125,0.053125,0.096875,0.090625,0.096875,0.10625,0.290625,0.240625,0.1,0.175,0.040625,0.153125
ital1282,0.153125,0.171875,0.125,0.065625,0.078125,0.09375,0.084375,0.084375,0.146875,0.134375,0.05,0.075,0.0,0.1125,0.203125,0.103125,0.125,0.109375,0.1625,0.225,0.05625,0.140625,0.171875,0.2125,0.15625,0.25625,0.06875,0.025,0.071875,0.06875,0.06875,0.053125,0.0375,0.13125,0.05625,0.265625,0.215625,0.06875,0.2,0.084375,0.153125
komi1268,0.175,0.18125,0.10625,0.10625,0.1125,0.115625,0.053125,0.109375,0.1125,0.084375,0.09375,0.15625,0.1125,0.0,0.13125,0.121875,0.125,0.14375,0.134375,0.159375,0.109375,0.078125,0.125,0.178125,0.16875,0.19375,0.09375,0.11875,0.0875,0.071875,0.140625,0.140625,0.08125,0.13125,0.096875,0.209375,0.171875,0.06875,0.190625,0.146875,0.11875
kore1280,0.1875,0.225,0.203125,0.196875,0.190625,0.2,0.134375,0.15625,0.10625,0.11875,0.190625,0.215625,0.203125,0.13125,0.0,0.19375,0.20625,0.209375,0.121875,0.134375,0.190625,0.140625,0.128125,0.13125,0.1875,0.090625,0.175,0.203125,0.171875,0.159375,0.2,0.221875,0.175,0.15,0.1875,0.15625,0.10625,0.15,0.2,0.20625,0.13125
latv1249,0.1625,0.19375,0.065625,0.10625,0.11875,0.059375,0.08125,0.121875,0.128125,0.13125,0.084375,0.140625,0.103125,0.121875,0.19375,0.0,0.046875,0.10625,0.203125,0.171875,0.071875,0.10625,0.13125,0.134375,0.2,0.2,0.065625,0.10625,0.0625,0.078125,0.140625,0.09375,0.0875,0.146875,0.1,0.190625,0.14375,0.078125,0.2625,0.14375,0.103125
